"company_name","high_price_hour","hour_of_day","ts"
"BYND","137.97","09","2020-05-14 09:39:00"
"BYND","139.56","10","2020-05-14 10:31:00"
"BYND","141.0","11","2020-05-14 11:15:00"
"BYND","138.24","12","2020-05-14 12:57:00"
"BYND","137.79","13","2020-05-14 13:00:00"
"BYND","135.73","14","2020-05-14 14:12:00"
"BYND","135.85","15","2020-05-14 15:54:00"
"DDOG","67.25","09","2020-05-14 09:32:00"
"DDOG","66.55","10","2020-05-14 10:09:00"
"DDOG","65.0","11","2020-05-14 11:20:00"
"DDOG","65.0","11","2020-05-14 11:16:00"
"DDOG","65.0","11","2020-05-14 11:06:00"
"DDOG","65.0","11","2020-05-14 11:05:00"
"DDOG","64.88","12","2020-05-14 12:54:00"
"DDOG","65.0","13","2020-05-14 13:02:00"
"DDOG","64.13","14","2020-05-14 14:48:00"
"DDOG","65.87","15","2020-05-14 15:54:00"
"FB","203.87","09","2020-05-14 09:37:00"
"FB","203.35","10","2020-05-14 10:53:00"
"FB","204.27","11","2020-05-14 11:37:00"
"FB","205.1","12","2020-05-14 12:56:00"
"FB","205.64","13","2020-05-14 13:32:00"
"FB","204.99","14","2020-05-14 14:29:00"
"FB","206.93","15","2020-05-14 15:59:00"
"NFLX","452.0","09","2020-05-14 09:36:00"
"NFLX","446.51","10","2020-05-14 10:08:00"
"NFLX","440.64","11","2020-05-14 11:16:00"
"NFLX","440.34","12","2020-05-14 12:59:00"
"NFLX","441.78","13","2020-05-14 13:49:00"
"NFLX","441.44","14","2020-05-14 14:30:00"
"NFLX","442.14","15","2020-05-14 15:59:00"
"OKTA","178.0","09","2020-05-14 09:38:00"
"OKTA","178.0","09","2020-05-14 09:39:00"
"OKTA","177.81","10","2020-05-14 10:10:00"
"OKTA","179.89","11","2020-05-14 11:37:00"
"OKTA","179.01","12","2020-05-14 12:57:00"
"OKTA","178.5","13","2020-05-14 13:03:00"
"OKTA","178.5","13","2020-05-14 13:02:00"
"OKTA","177.81","14","2020-05-14 14:32:00"
"OKTA","177.85","15","2020-05-14 15:05:00"
"PINS","16.54","09","2020-05-14 09:31:00"
"PINS","16.54","09","2020-05-14 09:32:00"
"PINS","16.67","10","2020-05-14 10:55:00"
"PINS","16.67","10","2020-05-14 10:54:00"
"PINS","16.67","10","2020-05-14 10:53:00"
"PINS","16.67","10","2020-05-14 10:52:00"
"PINS","16.94","11","2020-05-14 11:18:00"
"PINS","16.94","11","2020-05-14 11:19:00"
"PINS","17.04","12","2020-05-14 12:57:00"
"PINS","17.03","13","2020-05-14 13:26:00"
"PINS","16.91","14","2020-05-14 14:21:00"
"PINS","16.91","14","2020-05-14 14:22:00"
"PINS","17.09","15","2020-05-14 15:51:00"
"PINS","17.09","15","2020-05-14 15:50:00"
"SHOP","758.09","09","2020-05-14 09:31:00"
"SHOP","752.0","10","2020-05-14 10:12:00"
"SHOP","752.0","10","2020-05-14 10:10:00"
"SHOP","757.47","11","2020-05-14 11:16:00"
"SHOP","754.16","12","2020-05-14 12:57:00"
"SHOP","755.82","13","2020-05-14 13:01:00"
"SHOP","751.8","14","2020-05-14 14:57:00"
"SHOP","755.57","15","2020-05-14 15:50:00"
"SNAP","16.73","09","2020-05-14 09:31:00"
"SNAP","16.93","10","2020-05-14 10:54:00"
"SNAP","16.93","10","2020-05-14 10:53:00"
"SNAP","17.15","11","2020-05-14 11:07:00"
"SNAP","16.99","12","2020-05-14 12:57:00"
"SNAP","17.0","13","2020-05-14 13:31:00"
"SNAP","16.92","14","2020-05-14 14:58:00"
"SNAP","16.92","14","2020-05-14 14:57:00"
"SNAP","16.97","15","2020-05-14 15:09:00"
"SNAP","16.97","15","2020-05-14 15:08:00"
"SNAP","16.97","15","2020-05-14 15:04:00"
"SQ","72.81","09","2020-05-14 09:46:00"
"SQ","75.59","10","2020-05-14 10:59:00"
"SQ","76.49","11","2020-05-14 11:09:00"
"SQ","76.75","12","2020-05-14 12:59:00"
"SQ","77.18","13","2020-05-14 13:48:00"
"SQ","77.26","14","2020-05-14 14:59:00"
"SQ","78.25","15","2020-05-14 15:57:00"
"TTD","289.45","09","2020-05-14 09:31:00"
"TTD","290.07","10","2020-05-14 10:53:00"
"TTD","296.86","11","2020-05-14 11:18:00"
"TTD","294.5","12","2020-05-14 12:57:00"
"TTD","296.0","13","2020-05-14 13:31:00"
"TTD","295.77","14","2020-05-14 14:59:00"
"TTD","297.67","15","2020-05-14 15:24:00"
